club_id,name,age,market_value_est
10,Ryan Kurnia,28 Jun 1996 (29),"Rp3,04Mlyr."
10,Fareed Sadat,10 Nov 1998 (27),"Rp3,48Mlyr."
10,Dendy Sulistyawan,12 Okt 1996 (29),"Rp3,04Mlyr."
10,Henri Doumbia,11 Nov 1992 (33),"Rp1,74Mlyr."
10,Ilija Spasojević,11 Sep 1987 (38),"Rp1,30Mlyr."
11,Ernando Ari,27 Feb 2002 (23),"Rp5,21Mlyr."
11,Andhika Ramadhani,5 Jan 1999 (27),"Rp3,04Mlyr."
11,Muhammad Ilham,7 Mei 2007 (18),-
11,Gustavo Fernandes,5 Jul 1999 (26),"Rp4,35Mlyr."
11,Léo Lelis,15 Nov 1993 (32),"Rp3,04Mlyr."
11,Risto Mitrevski,5 Okt 1991 (34),"Rp2,17Mlyr."
11,Randy May,21 Sep 2000 (25),"Rp434,54Jt."
11,Sheva Kardanu,24 Jan 2005 (21),-
11,Jefferson,3 Jan 1997 (29),"Rp4,35Mlyr."
11,Mikael Tata,10 Mei 2004 (21),"Rp2,61Mlyr."
11,Arief Catur,25 Jul 1999 (26),"Rp3,48Mlyr."
11,Koko Ari,9 Jan 2000 (26),"Rp2,61Mlyr."
11,Rachmat Irianto,3 Sep 1999 (26),"Rp4,35Mlyr."
11,Sadida Putra,26 Apr 2005 (20),"Rp434,54Jt."
11,Milos Raickovic,2 Des 1993 (32),"Rp3,48Mlyr."
11,Bruno Paraíba,20 Jul 1994 (31),"Rp3,04Mlyr."
11,Toni Firmansyah,14 Jan 2005 (21),"Rp2,17Mlyr."
11,Ichsas Baihaqi,17 Mar 2007 (18),"Rp869,08Jt."
11,Francisco Rivera,23 Sep 1994 (31),"Rp6,95Mlyr."
11,Pedro Matos,11 Mei 1998 (27),"Rp2,17Mlyr."
11,Bruno,8 Apr 1999 (26),"Rp6,95Mlyr."
11,Gali Freitas, (-),"Rp3,48Mlyr."
11,Malik Risaldi,23 Okt 1996 (29),"Rp4,78Mlyr."
11,Oktafianus Fernando,4 Okt 1993 (32),"Rp869,08Jt."
11,Alfan Suaib,24 Mar 2004 (21),"Rp869,08Jt."
11,Dimas Wicaksono,16 Jul 2007 (18),"Rp434,54Jt."
11,Mihailo Perovic,23 Jan 1997 (29),"Rp4,35Mlyr."
12,Muhamad Riyandi,3 Jan 2000 (26),"Rp3,04Mlyr."
12,Vukasin Vranes,22 Jul 1997 (28),"Rp1,74Mlyr."
12,Gede Aditya,4 Jul 2004 (21),"Rp173,82Jt."
12,Faza Al Firdaus,6 Agt 2005 (20),-
12,Xandro Schenk,28 Apr 1993 (32),"Rp4,78Mlyr."
12,Luka Dumancic,27 Okt 1998 (27),"Rp3,48Mlyr."
12,Kadek Raditya,13 Jun 1999 (26),"Rp2,61Mlyr."
12,Agung Mannan,6 Agt 1998 (27),"Rp1,30Mlyr."
12,Rian Miziar,13 Okt 1990 (35),"Rp434,54Jt."
12,Yulfikar Mansur,25 Feb 2006 (19),-
12,Faqih Maulana,11 Sep 2004 (21),"Rp1,74Mlyr."
12,Dusan Mijic,22 Jun 1993 (32),"Rp3,48Mlyr."
12,Alfriyanto Nico,3 Apr 2003 (22),"Rp2,61Mlyr."
12,Ibrahim Sanjaya,26 Agt 1997 (28),"Rp1,30Mlyr."
12,Eky Taufik,15 Feb 1991 (34),"Rp869,08Jt."
12,Rizky Syahputra,27 Jun 2006 (19),-
12,Andrei Alba,14 Jan 1995 (31),"Rp3,91Mlyr."
12,Fuad Sule,20 Jan 1997 (29),"Rp3,48Mlyr."
12,Sutanto Tan,4 Mei 1994 (31),"Rp3,04Mlyr."
12,Mateo Kocijan,27 Mar 1995 (30),"Rp2,61Mlyr."
12,Zulfahmi Arifin,5 Okt 1991 (34),"Rp869,08Jt."
12,Miroslav Maricic,21 Jan 1998 (28),"Rp3,48Mlyr."
12,Zanadin Fariz,31 Mei 2004 (21),"Rp2,17Mlyr."
12,Adriano Castanheira,7 Apr 1993 (32),"Rp2,61Mlyr."
12,Rexo Dolby,18 Nov 2005 (20),-
12,Sho Yamamoto,12 Nov 1996 (29),"Rp4,35Mlyr."
12,Irfan Jauhari,31 Jan 2001 (25),"Rp2,61Mlyr."
12,Yabes Roni,6 Feb 1995 (30),"Rp1,74Mlyr."
12,Althaf Alrizky,6 Jan 2003 (23),"Rp2,61Mlyr."
12,Ikhwan Tanamal,28 Des 2003 (22),"Rp1,30Mlyr."
12,Clayton,23 Okt 1995 (30),"Rp4,35Mlyr."
12,Roman Paparyga,9 Jul 1999 (26),"Rp4,35Mlyr."
12,Kodai Tanaka,23 Des 1999 (26),"Rp3,91Mlyr."
12,Arkhan Kaka,2 Sep 2007 (18),"Rp1,30Mlyr."
13,Angga Saputro,30 Nov 1993 (32),"Rp2,61Mlyr."
13,Alan,22 Jun 1994 (31),"Rp2,61Mlyr."
13,Muhammad Ridwan,26 Mar 1991 (34),"Rp869,08Jt."
13,Zahir Fazya, (-),-
13,Gustavo França,20 Jul 1996 (29),"Rp6,08Mlyr."
13,Safrudin Tahar,13 Des 1993 (32),"Rp3,91Mlyr."
13,Nilson Júnior,9 Sep 1991 (34),"Rp1,74Mlyr."
13,Riswan Lauhin,8 Agt 1998 (27),"Rp1,30Mlyr."
13,Yance Sayuri,22 Sep 1997 (28),"Rp5,65Mlyr."
13,Abduh Lestaluhu,16 Okt 1993 (32),"Rp2,17Mlyr."
13,Igor Inocêncio,20 Apr 1998 (27),"Rp4,35Mlyr."
13,Fredyan Wahyu,11 Apr 1998 (27),"Rp1,74Mlyr."
13,Mardani Majid,16 Apr 2005 (20),-
13,Manahati Lestusen,17 Des 1993 (32),"Rp3,04Mlyr."
13,Wbeymar Angulo,6 Mar 1992 (33),"Rp2,61Mlyr."
13,Alwi Slamat,16 Des 1998 (27),"Rp2,61Mlyr."
13,Tri Setiawan,20 Mei 2004 (21),"Rp1,74Mlyr."
13,Ridho Syuhada,18 Jun 2004 (21),"Rp1,30Mlyr."
13,Lucas Cardoso,8 Jun 1996 (29),"Rp6,08Mlyr."
13,Rizky Pellu,26 Jun 1992 (33),-
13,Septian David,2 Sep 1996 (29),"Rp3,04Mlyr."
13,Tyronne,27 Jan 1991 (35),"Rp1,74Mlyr."
13,Frets Butuan,4 Jun 1996 (29),"Rp2,61Mlyr."
13,Yakob Sayuri,22 Sep 1997 (28),"Rp6,95Mlyr."
13,Ciro Alves,18 Apr 1989 (36),"Rp3,48Mlyr."
13,Riyan Ardiansyah,14 Mei 1996 (29),"Rp1,74Mlyr."
13,Taufik Rustam,21 Feb 2005 (20),"Rp434,54Jt."
13,Dimas Drajad,30 Mar 1997 (28),"Rp3,04Mlyr."
13,David da Silva,12 Nov 1989 (36),"Rp2,17Mlyr."
14,Igor Rodrigues,5 Mei 1995 (30),"Rp6,08Mlyr."
14,Kartika Ajie,20 Jun 1996 (29),"Rp1,74Mlyr."
14,Rizwan Haikal,16 Apr 2004 (21),-
14,Rafi Pamungkas,31 Jul 2005 (20),-
14,Tamirlan Kozubaev,1 Jul 1994 (31),"Rp7,82Mlyr."
14,Javlon Guseynov,24 Jun 1991 (34),"Rp3,04Mlyr."
14,Ryuji Utomo,1 Jul 1995 (30),"Rp2,61Mlyr."
14,Charisma Fathoni,25 Feb 2001 (24),"Rp1,30Mlyr."
14,Mario Jardel,7 Nov 2000 (25),"Rp3,04Mlyr."
14,Zalnando,25 Des 1996 (29),"Rp1,74Mlyr."
14,Muhammad Toha,30 Jun 1997 (28),"Rp5,21Mlyr."
14,Fairuz Ohorella,17 Mar 2002 (23),-
14,Sin-young Bae,11 Jun 1992 (33),"Rp3,04Mlyr."
14,Badrian Ilham,11 Jun 2002 (23),"Rp1,30Mlyr."
14,Ahmad Fahd,16 Des 2003 (22),"Rp869,08Jt."
14,Andrean Rindorindo,2 Mei 2004 (21),"Rp869,08Jt."
14,Pablo Ganet,4 Nov 1994 (31),"Rp5,21Mlyr."
14,Ramón Bueno,7 Feb 1995 (30),"Rp2,61Mlyr."
14,Éber Bessa,21 Mar 1992 (33),"Rp1,74Mlyr."
14,Jack Brown,2 Nov 2001 (24),"Rp869,08Jt."
14,Aleksa Andrejic,24 Jan 1993 (33),"Rp2,61Mlyr."
14,Esal Sahrul,14 Mar 2002 (23),"Rp1,74Mlyr."
14,Yardan Yafi,15 Jan 2004 (22),"Rp1,30Mlyr."
14,Evan Tuhuteru,9 Jul 2006 (19),-
14,Cois Artomoro,2 Apr 2003 (22),-
14,Andriano Saputra,3 Mar 2004 (21),-
14,Rayco Rodríguez,24 Nov 1996 (29),"Rp6,08Mlyr."
14,Dafiq Firdaus,28 Apr 2004 (21),-
14,Hokky Caraka,21 Agt 2004 (21),"Rp3,48Mlyr."
14,Ahmad Nur Hardianto,6 Mar 1995 (30),"Rp2,61Mlyr."
14,Dejan Racic,15 Jul 1998 (27),"Rp2,61Mlyr."
14,Matheus Alves,19 Mei 1993 (32),"Rp2,17Mlyr."
15,Adi Satryo,7 Jul 2001 (24),"Rp3,91Mlyr."
