name,age,market_value_est,club,league_country
Ousmane Camara,4 Okt 2007 (18),-,Borneo FC Samarinda,Unknown League
Dika Nurdiansyah,27 Okt 2007 (18),-,Borneo FC Samarinda,Unknown League
Cahya Supriadi,11 Feb 2003 (22),"Rp3,91Mlyr.",PSIM Yogyakarta,Unknown League
Harlan Suardi,26 Jan 1999 (27),"Rp2,61Mlyr.",PSIM Yogyakarta,Unknown League
Khairul Fikri,24 Feb 2003 (22),"Rp869,08Jt.",PSIM Yogyakarta,Unknown League
Gilang Ardha,14 Mar 2006 (19),-,PSIM Yogyakarta,Unknown League
Franco Ramos Mingo,18 Sep 1997 (28),"Rp6,08Mlyr.",PSIM Yogyakarta,Unknown League
Yusaku Yamadera,4 Agt 1997 (28),"Rp4,78Mlyr.",PSIM Yogyakarta,Unknown League
Andy Setyo,16 Sep 1997 (28),"Rp2,17Mlyr.",PSIM Yogyakarta,Unknown League
Rendra Teddy,14 Jun 1996 (29),"Rp2,17Mlyr.",PSIM Yogyakarta,Unknown League
Reva Adi,1 Sep 1996 (29),"Rp4,35Mlyr.",PSIM Yogyakarta,Unknown League
Dede Sapari,8 Apr 2004 (21),"Rp1,74Mlyr.",PSIM Yogyakarta,Unknown League
Raka Cahyana,24 Feb 2004 (21),"Rp2,61Mlyr.",PSIM Yogyakarta,Unknown League
Donny Warmerdam,2 Jan 2002 (24),"Rp6,95Mlyr.",PSIM Yogyakarta,Unknown League
Rakhmatsho Rakhmatzoda,6 Apr 2004 (21),"Rp3,48Mlyr.",PSIM Yogyakarta,Unknown League
Rio Hardiawan,29 Des 1996 (29),"Rp2,17Mlyr.",PSIM Yogyakarta,Unknown League
Ghulam Fatkur,11 Apr 1999 (26),"Rp1,74Mlyr.",PSIM Yogyakarta,Unknown League
Ezequiel Vidal,2 Agt 1995 (30),"Rp7,82Mlyr.",PSIM Yogyakarta,Unknown League
Zé Valente,14 Mei 1994 (31),"Rp6,52Mlyr.",PSIM Yogyakarta,Unknown League
Fahreza Sudin,12 Agt 2000 (25),"Rp2,61Mlyr.",PSIM Yogyakarta,Unknown League
Savio Sheva,23 Apr 2001 (24),"Rp2,17Mlyr.",PSIM Yogyakarta,Unknown League
Muhammad Iqbal,27 Okt 2000 (25),"Rp869,08Jt.",PSIM Yogyakarta,Unknown League
Anton Fase,6 Feb 2000 (25),"Rp3,04Mlyr.",PSIM Yogyakarta,Unknown League
Riyatno Abiyoso,18 Jan 1999 (27),"Rp2,17Mlyr.",PSIM Yogyakarta,Unknown League
Andi Irfan,25 Mei 2001 (24),"Rp2,61Mlyr.",PSIM Yogyakarta,Unknown League
Nermin Haljeta,7 Jun 1997 (28),"Rp6,52Mlyr.",PSIM Yogyakarta,Unknown League
Deri Corfe,3 Mar 1998 (27),"Rp3,48Mlyr.",PSIM Yogyakarta,Unknown League
Husna Al Malik,13 Jun 2003 (22),"Rp2,17Mlyr.",Persik Kediri,Unknown League
Léo Navacchio,28 Des 1992 (33),"Rp1,74Mlyr.",Persik Kediri,Unknown League
Rizqi Abhirama,2 Jul 2001 (24),"Rp869,08Jt.",Persik Kediri,Unknown League
Zidane Afreza,4 Apr 2006 (19),-,Persik Kediri,Unknown League
Kiko,25 Mar 2000 (25),"Rp3,91Mlyr.",Persik Kediri,Unknown League
Chechu Meneses,4 Jan 1995 (31),"Rp3,48Mlyr.",Persik Kediri,Unknown League
Hamra Hehanussa,1 Jul 1999 (26),"Rp3,48Mlyr.",Persik Kediri,Unknown League
Mario Yagalo,21 Apr 1993 (32),"Rp1,30Mlyr.",Persik Kediri,Unknown League
Muhamad Firly,16 Jul 1999 (26),"Rp1,30Mlyr.",Persik Kediri,Unknown League
Rezaldi Hehanussa,7 Nov 1995 (30),"Rp2,61Mlyr.",Persik Kediri,Unknown League
Yoga Adiatama,22 Des 1999 (26),"Rp1,74Mlyr.",Persik Kediri,Unknown League
Henhen Herdiana,10 Sep 1995 (30),"Rp2,61Mlyr.",Persik Kediri,Unknown League
Novri Setiawan,11 Nov 1993 (32),"Rp2,17Mlyr.",Persik Kediri,Unknown League
Gavin Kwan,5 Apr 1996 (29),"Rp1,30Mlyr.",Persik Kediri,Unknown League
Imanol García,26 Des 1995 (30),"Rp5,21Mlyr.",Persik Kediri,Unknown League
Bayu Otto,15 Okt 1999 (26),"Rp3,48Mlyr.",Persik Kediri,Unknown League
Telmo Castanheira,13 Apr 1992 (33),"Rp1,74Mlyr.",Persik Kediri,Unknown League
Adi Eko,18 Jan 1994 (32),"Rp1,30Mlyr.",Persik Kediri,Unknown League
Rifqi Ray,22 Jun 2004 (21),"Rp1,30Mlyr.",Persik Kediri,Unknown League
Adrián Luna,12 Apr 1992 (33),"Rp10,43Mlyr.",Persik Kediri,Unknown League
Jon Toral,5 Feb 1995 (30),"Rp8,69Mlyr.",Persik Kediri,Unknown League
Syahrian Abimanyu,25 Apr 1999 (26),"Rp2,61Mlyr.",Persik Kediri,Unknown League
Ezra Walian,22 Okt 1997 (28),"Rp6,08Mlyr.",Persik Kediri,Unknown League
Pedro Matos,19 Feb 1997 (28),"Rp1,30Mlyr.",Persik Kediri,Unknown League
Rendy Sanjaya,11 Apr 2004 (21),"Rp869,08Jt.",Persik Kediri,Unknown League
Wigi Pratama,29 Jul 2004 (21),"Rp869,08Jt.",Persik Kediri,Unknown League
Faris Aditama,19 Feb 1988 (37),"Rp173,82Jt.",Persik Kediri,Unknown League
Irkham Mila,2 Mei 1998 (27),"Rp1,74Mlyr.",Persik Kediri,Unknown League
Supriadi,23 Mei 2002 (23),"Rp1,30Mlyr.",Persik Kediri,Unknown League
José Enrique,26 Agt 1995 (30),"Rp4,35Mlyr.",Persik Kediri,Unknown League
Yandi Sofyan,25 Mei 1992 (33),"Rp1,30Mlyr.",Persik Kediri,Unknown League
Aqil Savik,17 Jan 1999 (27),"Rp2,61Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Awan Setho,19 Mar 1997 (28),"Rp2,61Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Rakasurya Handika,13 Jun 2000 (25),"Rp869,08Jt.",Bhayangkara Presisi Lampung FC,Unknown League
Sultan Jabbar,30 Jul 2008 (17),-,Bhayangkara Presisi Lampung FC,Unknown League
Muhammad Ferarri,21 Jun 2003 (22),"Rp4,78Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Slavko Damjanovic,2 Nov 1992 (33),"Rp3,91Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Nehar Sadiki,16 Mar 1998 (27),"Rp3,48Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Léo,22 Apr 2000 (25),"Rp2,61Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Rahmat Syawal,5 Nov 2005 (20),"Rp869,08Jt.",Bhayangkara Presisi Lampung FC,Unknown League
Ferre Murari,26 Jul 2005 (20),"Rp173,82Jt.",Bhayangkara Presisi Lampung FC,Unknown League
Firza Andika,11 Mei 1999 (26),"Rp4,35Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
Alan Cardoso,5 Jan 1998 (28),"Rp3,91Mlyr.",Bhayangkara Presisi Lampung FC,Unknown League
